ts,x,y,z,vx,vy,vz
0.0,8125.44,0.0,4.975397043831935e-13,5.753957801139253e-17,0.9396926207859084,0.3420201433256689
1e-06,8125.4399455798,0.2669566871751136,0.09718544187736936,-0.0003831089401123257,0.9396446789952658,0.3421516191155961
6e-06,8125.438040953501,1.6015345300481034,0.5836726769775182,-0.0022985111971306413,0.9394024904532555,0.3428085147374521
3.1e-05,8125.387715563096,8.269101975171871,3.0300739164797523,-0.011871755321174883,0.9381295761516515,0.34608085727921584
0.000156,8124.117677352026,41.45117752248528,15.606687466670653,-0.05961796451957711,0.9302180375236495,0.3621327118228797
0.0003143968266929245,8120.0807388572575,83.01779657561612,32.34627125479152,-0.11970952492998728,0.9165008233276055,0.3817012843584076
0.0004930736821951759,8112.299855165221,129.04497856811824,52.25952574236115,-0.18669055696913756,0.8960996091324369,0.4026811722085441
0.0006860543868559869,8100.110229593011,177.4375463224198,74.92665999388129,-0.25772290376536106,0.8682370697097795,0.42396143180308976
0.0008886477005837494,8083.1750686035875,226.4138982270368,99.93246823124824,-0.330387312042907,0.8325323914536843,0.44467295984967675
0.0010960092846692075,8061.581710823479,274.2165886317178,126.70855174651948,-0.4022277391574023,0.7892202890051679,0.4640519165728377
0.0013067138044745726,8035.397488577409,319.97014626969144,155.0272282721909,-0.47202687943432964,0.738304302730741,0.48176486138028285
0.001519539094048154,8004.822555608482,362.8807466609101,184.6440506102819,-0.5386255321072154,0.6799514014324279,0.4975425889833918
0.0017334549709192909,7970.170202146731,402.2477515988115,215.30691262233444,-0.6009317019087842,0.6144737408174232,0.5111781602209297
0.001947628606429205,7931.842589876746,437.47325388535796,246.76711577611732,-0.6579313721695572,0.542304733093142,0.5225245314622649
0.0021614285018004627,7890.305265820256,468.06473186181665,278.78951793258705,-0.7086934925700412,0.4639738700488512,0.5314901518379891
0.0023744267596627947,7846.0625402789265,493.63085331232264,311.16115835817027,-0.7523683754680499,0.380082131372542,0.5380328995580784
0.0025713516229546023,7803.000345740997,512.611955834215,341.3806669104459,-0.785906309880359,0.29774683541807767,0.5419391977784569
0.002751966819166157,7762.020712892154,525.873625636312,369.24157955555955,-0.8103002111803803,0.21861462899945008,0.5437105955823042
0.002917118601298583,7723.5922406561285,534.3804413779613,394.760253227802,-0.8268182926903819,0.14361424265681047,0.5438257627022397
0.0030510349845073396,7691.950835076018,538.6614959899057,415.4351408438588,-0.8358730706814761,0.08122371472296663,0.542880205824565
0.0031682209613868883,7664.03799806901,540.4431127818855,433.4844813263204,-0.8404340717965528,0.025672648782982675,0.5413053538142149
0.0032647636114053183,7640.964032986261,540.5132287349613,448.3073338934942,-0.8417352399018125,-0.020630865118817333,0.5394962032414014
0.0033605455970929865,7618.067382042377,539.3225224897292,462.95826620301244,-0.8407585250001964,-0.06693617999231496,0.53725659646721
0.0034703985267541624,7591.882391085258,536.4007139856238,479.67854369198585,-0.8367735198476794,-0.12034630870799794,0.5341599408998062
0.003590478649519496,7563.4613185640865,531.2967337609028,497.8345670094789,-0.8288141209366602,-0.17888954668216944,0.5301562816979906
0.0037175247367941633,7533.76139670838,523.723195742453,516.8832369876885,-0.8161830862353404,-0.24073173605339485,0.5252555578002709
0.0038495544330560873,7503.4661537056945,513.4947005899947,536.4790717499548,-0.7983618972937387,-0.30454579065812265,0.5194902716528584
0.003985287194642669,7473.114826151758,500.49978686466875,556.3864684347772,-0.7749637466146233,-0.36925514688036915,0.5129150299371066
0.00412387855575996,7443.16006417386,484.68245951448296,576.4395508614505,-0.7457062113140256,-0.4339201992686119,0.5056041011249512
0.004264784092225324,7413.996989319889,466.0284852167048,596.5216321997365,-0.7103928715968487,-0.4976824159350414,0.4976486520161025
0.004407683420334865,7385.9800834925245,444.55451556101116,616.5536075060711,-0.6688995983289228,-0.5597333624771307,0.4891542602139441
0.004552436733990261,7359.434488035305,420.2989401101913,636.4870741830796,-0.6211632252515332,-0.6192954865179324,0.4802388447154503
0.0046990621234303896,7334.664770088672,393.31366423232237,656.3003774181625,-0.5671710030021672,-0.6756084842559904,0.47103102801709246
0.004847729189522118,7311.962856754954,363.65601322443115,675.9968541641074,-0.506949271752515,-0.72791774842882,0.46166891534075805
0.004992173714660781,7292.444686609255,332.8308915079342,694.7573245852752,-0.4435515327290147,-0.7735127388715015,0.45270308218218497
0.0051290279179646014,7276.433243496495,302.0020515951379,712.1971949929812,-0.3794745690335362,-0.8114481732873537,0.4444669993660144
0.005258873186528065,7263.605985397323,271.4837790176758,728.4540976470967,-0.3155076743710672,-0.8423074445045727,0.43700466398556526
0.005382211140216143,7253.651573246204,241.52780416962258,743.648480888102,-0.25230809188175785,-0.8666917616740001,0.4303324494125495
0.005499272958725199,7246.28368325202,212.38413942380458,757.8609231791122,-0.19052228921058187,-0.8851776354849058,0.42445472190954686
0.005610006321993931,7241.226384637923,184.31911933221426,771.1325070290093,-0.13082090678053274,-0.8983421217120189,0.41936538091152364
0.005714007914968326,7238.199692499526,157.64204923659733,783.4583694499322,-0.07395260932360945,-0.9067882248453126,0.41504954747128225
0.0058005204380674625,7236.9674809649905,135.29930108072023,793.6191451985567,-0.026277566639934493,-0.9108817138391854,0.41183005340173034
0.005872442617453397,7236.836636728542,116.67031260901891,802.0090004214251,0.013479352202207582,-0.9122444736453825,0.40942438540915954
0.0059455140070608994,7237.5358375273345,97.73475774277185,810.4852648105655,0.053875132155672856,-0.9117297601257419,0.40724232913127545
0.006027340981482925,7239.312996285875,76.56839467275297,819.9270181452956,0.09898672669659055,-0.9088881403467269,0.4051221745041399
0.006118495145241441,7242.523823863225,53.10215962937112,830.3921130824651,0.1489132857065463,-0.9029265921742781,0.40317291883833867
0.006217030161042925,7247.44103806944,27.954207641316664,841.6545844961744,0.20227331607378102,-0.8932143711720674,0.40156393356003073
0.006321878620329407,7254.30030036024,1.5469868917491496,853.5975785328707,0.258091341885658,-0.8792317541109141,0.40042525121014216
0.006432434001271664,7263.3133140472955,-25.785123792531586,866.163765476827,0.31557120940700556,-0.8605371894634395,0.3998631732777656
0.006548433829353421,7274.681935977538,-53.7635821668234,879.3410987803246,0.37403006077619405,-0.8367366925874842,0.3999665247411521
0.006669649766045493,7288.580767113215,-82.08762872094366,893.1271512914414,0.4327383664652281,-0.8075209747927968,0.40080840991513267
0.006796183826199652,7305.194726769644,-110.5015012469066,907.5625717525107,0.49106443368312336,-0.7725879798866403,0.4024469347704786
0.006928224545349504,7324.702006253424,-138.72937882486335,922.7034217396194,0.5483432045067405,-0.7316800472809818,0.40492473187270156
0.007066101202824004,7347.2834590518405,-166.4806324075737,938.627542419655,0.6038932537314439,-0.6845659821652885,0.4082675031884412
0.007210293688640976,7373.1274448742715,-193.44100778109942,955.4360741360649,0.657005460536813,-0.6310327926451874,0.4124820474047644
0.007361458805046532,7402.436420711012,-219.26284581405392,973.2570938092605,0.7069311266452895,-0.5708741493192877,0.4175536945340102
0.007513327579615723,7433.909223247069,-242.52587239631177,991.3921610578279,0.7509480944922529,-0.5069569361325377,0.4231685530442506
0.007662912686644555,7466.634509432244,-262.6823130382205,1009.499420564,0.7881675086294727,-0.44125692400431454,0.4290504694777302
0.007810293991770982,7500.298523754698,-279.76600846646903,1027.588872241149,0.8188472853657142,-0.3744786592315348,0.4350343170709096
0.007955425349930954,7534.583935074754,-293.82517881860144,1045.6483149953815,0.8432780277059255,-0.3072956353371404,0.44096662060880243
0.008098038559265509,7569.14315902896,-304.92256216824234,1063.6312256727003,0.8617787633396836,-0.24040247287056038,0.4467034968460009
0.00823759534716242,7603.583771049662,-313.1489618961719,1081.450022550599,0.8747171246898113,-0.1745412884988651,0.4521120330001681
0.008373184351799276,7637.443540601118,-318.6392748431506,1098.9621562616255,0.8825331964612219,-0.11054684618349456,0.45707171422307613
0.008503299072571325,7670.139038255573,-321.59488367382124,1115.9404530728966,0.8857746781333372,-0.04943943284229522,0.46147476860389147
