IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2012   1 22 15   -0.10    3.54    1.41  -359.8    -7.9   -23.8   6.43   58645.   -2.0    1    1 -0.3669   1.62   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 22 20   -0.11    3.35    1.95  -359.5    -6.4   -24.3   6.33   57063.   -3.0    1    1 -0.3705   1.59   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 22 25   -0.24    2.89    2.65  -359.5    -6.9   -25.9   6.08   59843.   -4.0    1    1 -0.3742   1.53   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 22 30   -0.26    2.72    2.98  -359.4    -6.6   -29.4   5.72   57802.   -5.0    1    1 -0.3779   1.44   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 22 35   -0.51    3.42    1.68  -359.0    -7.9   -22.6   5.85   55245.   -6.0    1    1 -0.3816   1.47   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 22 40   -0.40    3.37    0.92  -359.4    -8.9   -24.3   6.06   56152.   -6.0    1    1 -0.3853   1.52   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 22 45   -0.51    3.67    1.31  -358.3    -8.0   -24.5   5.77   55101.   -6.0    1    1 -0.3890   1.44   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 22 50   -0.45    3.35    2.13  -357.3    -7.1   -23.9   5.46   55278.   -7.0    1    1 -0.3927   1.36   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 22 55    0.22    2.34    2.43  -358.7   -10.4   -25.4   6.33   52920.   -6.0    1    1 -0.3964   1.59   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23  0    0.32    2.31    1.86  -360.6    -9.8   -25.8   6.33   54446.   -5.0    1    1 -0.4001   1.60   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23  5    0.94    2.15    1.45  -361.4    -8.0   -23.9   6.52   58833.   -5.0    1    1 -0.4039   1.66   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 10    0.84    1.53    2.45  -360.3    -8.0   -26.0   6.44   52790.   -5.0    1    1 -0.4076   1.63   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 15    1.24    1.15    2.30  -361.6    -5.5   -26.8   6.04   56120.   -5.0    1    1 -0.4113   1.54   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 20    1.13    1.41    2.24  -358.6    -8.4   -24.8   6.49   51120.   -5.0    1    1 -0.4151   1.63   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 25    1.40    1.04    1.88  -360.8    -6.0   -26.0   6.27   57075.   -5.0    1    1 -0.4188   1.59   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 30    1.70    1.07    1.99  -362.5    -5.5   -26.0   5.98   59626.   -5.0    1    1 -0.4225   1.53   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 35    1.03    0.67    2.13  -362.6    -4.5   -30.9   5.80   57007.   -5.0    1    1 -0.4262   1.49   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 40    0.53    1.80    2.53  -359.7   -10.6   -28.9   5.30   51247.   -5.0    1    1 -0.4299   1.34   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 45    0.56    0.85    2.69  -362.0   -10.3   -33.4   5.39   50176.   -6.0    1    1 -0.4336   1.38   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 50    0.30    1.14    2.70  -359.4   -11.4   -30.4   5.65   49419.   -6.0    1    1 -0.4373   1.43   0.00   0.00   0.00   0.00   0.00   0.00
2012   1 23 55    0.21    0.94    2.87  -359.6   -12.4   -30.5   5.46   46362.   -6.0    1    1 -0.4410   1.38   0.00   0.00   0.00   0.00   0.00   0.00
2012   2  0  0    0.36    0.94    2.75  -358.9   -12.5   -35.2   5.46   47572.   -6.0    1    1 -0.4446   1.38   0.00   0.00   0.00   0.00   0.00   0.00
2012   2  0  5    1.11    1.34    2.60  -359.8   -12.9   -32.5   5.33   48241.   -6.0    1    1 -0.4483   1.35   0.00   0.00   0.00   0.00   0.00   0.00
2012   2  0 10    0.88    1.31    2.46  -360.7   -14.4   -33.5   5.40   46314.   -6.0    1    1 -0.4519   1.37   0.00   0.00   0.00   0.00   0.00   0.00
2012   2  0 15    0.10    1.84    2.60  -358.1   -15.6   -29.9   5.25   45789.   -5.0    1    1 -0.4555   1.32   0.00   0.00   0.00   0.00   0.00   0.00
2012   2  0 20    0.01    1.59    2.85  -359.0   -14.2   -31.6   5.13   43749.   -5.0    1    1 -0.4591   1.29   0.00   0.00   0.00   0.00   0.00   0.00
2012   2  0 25   -0.04    1.57    2.67  -358.7   -14.0   -30.4   5.15   46600.   -5.0    1    1 -0.4626   1.29   0.00   0.00   0.00   0.00   0.00   0.00
