IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2019   1  1 55    1.69    4.40    0.89  -459.6     2.7    -4.3   3.71   39055.   -8.0    1    1 -0.5153   1.52   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2  0    1.42    4.66    0.82  -454.4    -0.9    -1.6   3.59   37064.   -7.0    1    1 -0.5179   1.44   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2  5    2.81    2.89    2.60  -458.7    -5.3   -10.5   4.10   35226.   -7.0    1    1 -0.5205   1.67   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 10    3.16    2.78    2.42  -462.6    -2.8   -16.9   4.14   29362.   -7.0    1    1 -0.5231   1.72   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 15    3.57    2.96    2.06  -463.3    -4.8   -14.1   4.01   30027.   -6.0    1    1 -0.5256   1.67   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 20    3.68    2.24    2.20  -462.3    11.8   -12.1   4.51   33892.   -6.0    1    1 -0.5280   1.87   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 25    2.87    2.31    3.46  -457.6     4.0   -14.4   4.24   28569.   -6.0    1    1 -0.5303   1.72   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 30    2.83    3.30    2.73  -457.4    -0.3   -10.5   4.29   28859.   -6.0    1    1 -0.5326   1.74   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 35    2.64    3.37    2.96  -450.1     4.0    -5.8   4.36   31662.   -6.0    1    1 -0.5349   1.71   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 40    3.08    3.31    2.93  -459.2    -8.2   -15.9   4.21   30008.   -6.0    1    1 -0.5370   1.72   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 45    2.18    4.37    1.58  -455.2    -2.8    -7.2   4.56   35922.   -6.0    1    1 -0.5391   1.83   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 50    2.78    3.70    2.71  -455.9    -3.7    -9.9   4.41   33602.   -7.0    1    1 -0.5412   1.78   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  2 55    2.73    3.81    2.81  -454.6    -5.3    -8.7   4.39   27377.   -7.0    1    1 -0.5432   1.76   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3  0    2.53    3.93    2.62  -453.6    -4.4    -6.9   4.39   27907.   -7.0    2    2 -0.5450   1.75   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3  5    2.33    4.05    2.43  -452.7    -3.5    -5.1   4.39   28437.   -6.0    2    2 -0.5469   1.74   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 10    2.13    4.17    2.24  -451.7    -2.6    -3.3   4.40   28968.   -6.0    2    2 -0.5486   1.74   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 15    1.94    4.29    2.05  -450.8    -1.6    -1.5   4.40   29498.   -6.0    2    2 -0.5503   1.73   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 20    1.74    4.40    1.86  -449.8    -0.7     0.3   4.40   30028.   -5.0    2    2 -0.5519   1.73   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 25    1.54    4.52    1.67  -448.9     0.2     2.1   4.40   30558.   -4.0    2    2 -0.5534   1.72   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 30    1.34    4.64    1.48  -447.9     1.1     3.9   4.40   31089.   -3.0    2    2 -0.5549   1.71   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 35    1.14    4.76    1.29  -447.0     2.0     5.7   4.40   31619.   -3.0    2    2 -0.5563   1.71   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 40    0.94    4.88    1.10  -446.0     2.9     7.6   4.41   32149.   -3.0    2    2 -0.5575   1.70   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 45    0.75    5.00    0.91  -445.0     3.9     9.4   4.41   32679.   -3.0    2    2 -0.5588   1.70   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 50    0.55    5.12    0.72  -444.1     4.8    11.2   4.41   33209.   -3.0    2    2 -0.5599   1.69   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  3 55    0.35    5.24    0.53  -443.1     5.7    13.0   4.41   33740.   -3.0    2    2 -0.5609   1.68   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  4  0    0.15    5.36    0.34  -442.2     6.6    14.8   4.41   34270.   -2.0    2    2 -0.5619   1.67   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  4  5   -0.05    5.47    0.15  -441.2     7.5    16.6   4.41   34800.   -2.0    2    2 -0.5628   1.67   0.00   0.00   0.00   0.00   0.00   0.00
2019   1  4 10   -0.24    5.59   -0.04  -440.3     8.4    18.4   4.42   35330.   -2.0    2    2 -0.5636   1.67   0.00   0.00   0.00   0.00   0.00   0.01
2019   1  4 15   -0.44    5.71   -0.23  -439.3     9.4    20.2   4.42   35861.   -2.0    2    2 -0.5643   1.66   0.00   0.00   0.00   0.00   0.02   0.02
2019   1  4 20   -0.64    5.83   -0.42  -438.4    10.3    22.0   4.42   36391.   -3.0    2    2 -0.5650   1.65   0.01   0.01   0.00   0.00   0.04   0.05
2019   1  4 25   -0.84    5.95   -0.61  -437.4    11.2    23.8   4.42   36921.   -2.0    1    1 -0.5655   1.64   0.01   0.02   0.00   0.01   0.06   0.07
2019   1  4 30   -0.54    5.53   -2.38  -440.6    10.4    24.9   4.88   38447.   -3.0    1    1 -0.5660   1.84   0.03   0.05   0.00   0.03   0.12   0.14
2019   1  4 35   -0.92    5.51   -2.39  -437.4     9.8    24.0   4.86   38730.   -3.0    1    1 -0.5664   1.81   0.05   0.07   0.00   0.05   0.18   0.20
2019   1  4 40   -1.05    5.61   -1.91  -436.9     7.1    22.5   4.55   36706.   -3.0    1    1 -0.5667   1.69   0.06   0.09   0.00   0.06   0.22   0.24
2019   1  4 45   -0.68    5.03   -2.87  -437.9    11.9    25.0   4.62   37312.   -4.0    1    1 -0.5669   1.72   0.08   0.12   0.01   0.08   0.28   0.29
2019   1  4 50   -1.18    4.95   -2.35  -438.3     6.7    23.5   4.72   39654.   -4.0    1    1 -0.5671   1.76   0.09   0.15   0.01   0.10   0.32   0.34
2019   1  4 55   -1.48    5.04   -2.02  -434.2    10.8    24.7   4.64   39992.   -4.0    1    1 -0.5671   1.70   0.11   0.16   0.01   0.11   0.35   0.37
2019   1  5  0   -1.91    4.83   -2.22  -435.1     7.4    23.2   4.39   38335.   -5.0    1    1 -0.5671   1.61   0.12   0.18   0.01   0.13   0.38   0.41
2019   1  5  5   -2.46    4.45   -2.36  -427.9     8.3    23.9   4.51   39078.   -6.0    1    1 -0.5669   1.60   0.13   0.20   0.01   0.14   0.41   0.44
2019   1  5 10   -2.27    4.44   -2.03  -428.7    13.4    23.8   4.45   42696.   -7.0    1    1 -0.5667   1.59   0.14   0.22   0.01   0.15   0.43   0.46
2019   1  5 15   -1.81    4.67   -2.03  -431.3    10.8    23.4   4.38   39075.   -8.0    1    1 -0.5664   1.58   0.15   0.23   0.01   0.16   0.45   0.48
2019   1  5 20   -1.44    4.59   -2.37  -431.9     9.4    23.3   4.40   37727.   -8.0    1    1 -0.5661   1.59   0.17   0.25   0.01   0.17   0.48   0.51
2019   1  5 25   -1.14    3.44   -4.39  -431.0    16.8    30.2   4.18   35113.   -9.0    1    1 -0.5656   1.51   0.19   0.28   0.02   0.21   0.53   0.55
2019   1  5 30   -1.03    3.39   -4.39  -432.3    14.7    31.3   4.30   38668.  -10.0    1    1 -0.5650   1.57   0.22   0.31   0.02   0.24   0.58   0.59
