IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2020   1  3 50    3.27   -1.50   -1.03  -301.4    -5.2    10.1  12.16   44532.    3.0    1    1 -0.5592   2.14   0.07   0.16   0.00   0.05   0.19   0.37
2020   1  3 55    3.35   -1.27   -1.08  -300.4    -3.3     3.4  13.85   43033.    4.0    1    1 -0.5603   2.42   0.08   0.17   0.00   0.06   0.21   0.41
2020   1  4  0    2.55    0.31    0.08  -301.9     6.8    16.0  11.93   40752.    4.0    1    1 -0.5613   2.12   0.07   0.16   0.00   0.05   0.19   0.38
2020   1  4  5    3.73   -1.12    1.39  -301.6     9.0    20.5  10.37   46389.    5.0    1    1 -0.5622   1.84   0.07   0.16   0.00   0.05   0.17   0.36
2020   1  4 10    3.97   -1.68    0.86  -306.3     0.7    16.2   9.09   47797.    6.0    1    1 -0.5630   1.66   0.07   0.15   0.00   0.05   0.15   0.33
2020   1  4 15    3.65   -0.89    1.03  -303.4     7.0    14.0  10.02   48441.    5.0    1    1 -0.5637   1.79   0.07   0.14   0.00   0.05   0.14   0.31
2020   1  4 20    3.71   -0.86    1.37  -303.1     4.0    11.6   9.89   52243.    5.0    1    1 -0.5643   1.76   0.07   0.13   0.00   0.04   0.13   0.29
2020   1  4 25    3.70   -1.70    1.54  -303.4     5.9    14.9   8.81   44785.    6.0    1    1 -0.5649   1.58   0.06   0.13   0.00   0.04   0.12   0.27
2020   1  4 30    3.93   -2.18    0.71  -308.5    -0.5    12.1   9.38   50632.    6.0    1    1 -0.5654   1.73   0.06   0.12   0.00   0.04   0.10   0.25
2020   1  4 35    3.85   -1.37    1.17  -310.5     2.9     9.6   9.14   55110.    6.0    1    1 -0.5658   1.71   0.06   0.11   0.00   0.04   0.10   0.24
2020   1  4 40    4.19   -1.48    0.79  -307.4     2.9    11.8   8.98   56106.    6.0    1    1 -0.5661   1.65   0.06   0.11   0.00   0.04   0.09   0.22
2020   1  4 45    4.70   -2.06    0.36  -302.4     0.3    14.7   9.06   47058.    6.0    1    1 -0.5663   1.61   0.06   0.10   0.00   0.03   0.08   0.20
2020   1  4 50    4.39   -1.94    0.81  -306.6    -1.2    13.4   9.07   50984.    6.0    1    1 -0.5664   1.65   0.05   0.10   0.00   0.03   0.07   0.19
2020   1  4 55    4.09   -1.77    1.06  -303.0    -1.0    13.2   9.42   52548.    5.0    1    1 -0.5665   1.68   0.05   0.09   0.00   0.03   0.07   0.18
2020   1  5  0    3.50   -1.46    1.37  -312.6     3.7     8.5   9.48   58622.    6.0    1    1 -0.5664   1.80   0.05   0.09   0.00   0.03   0.06   0.17
2020   1  5  5    3.81   -1.42    1.56  -304.4     4.6    10.8   7.68   55471.    7.0    1    1 -0.5663   1.38   0.05   0.08   0.00   0.03   0.05   0.15
2020   1  5 10    3.89   -1.45    1.61  -312.2     0.8     4.7   9.18   57916.    7.0    1    1 -0.5661   1.73   0.05   0.08   0.00   0.03   0.05   0.14
2020   1  5 15    3.50   -1.15    1.94  -310.2     6.4    11.7   8.45   46214.    8.0    1    1 -0.5658   1.58   0.05   0.07   0.00   0.03   0.04   0.13
2020   1  5 20    3.83   -1.36    1.77  -305.4     1.1    14.0   8.00   40943.    9.0    1    1 -0.5655   1.45   0.04   0.07   0.00   0.02   0.04   0.13
2020   1  5 25    3.83   -1.58    1.51  -306.1     2.4    11.9   8.10   44480.    9.0    1    1 -0.5650   1.47   0.04   0.07   0.00   0.02   0.04   0.12
2020   1  5 30    3.58   -1.60    1.05  -311.0    -0.9     4.5   9.00   55581.    9.0    1    1 -0.5645   1.69   0.04   0.06   0.00   0.02   0.03   0.11
2020   1  5 35    3.52   -1.58    1.02  -311.4    -2.4     4.4   8.80   56136.    9.0    1    2 -0.5638   1.65   0.04   0.06   0.00   0.02   0.03   0.10
2020   1  5 40    3.62   -1.50    1.10  -311.8    -3.9     4.3   8.60   56690.    9.0    1    1 -0.5631   1.62   0.04   0.06   0.00   0.02   0.03   0.09
2020   1  5 45    3.76   -1.59    1.13  -312.3    -3.3     3.5   8.45   57867.   10.0    1    2 -0.5624   1.60   0.04   0.05   0.00   0.02   0.02   0.09
2020   1  5 50    3.76   -1.55    1.07  -312.8    -2.7     2.6   8.30   59044.   10.0    1    1 -0.5615   1.57   0.04   0.05   0.00   0.02   0.02   0.08
2020   1  5 55    3.63   -1.67    1.34  -311.5    -0.2     4.0   8.08   52223.   10.0    1    1 -0.5605   1.52   0.04   0.05   0.00   0.02   0.02   0.08
2020   1  6  0    3.60   -1.81    1.61  -311.5    -0.2     4.0   8.08   52223.   10.0    1    1 -0.5595   1.52   0.03   0.05   0.00   0.02   0.02   0.07
2020   1  6  5    3.61   -2.00    1.11  -312.2    -0.2     1.6   8.30   50537.   10.0    1    1 -0.5584   1.57   0.03   0.04   0.00   0.02   0.02   0.07
2020   1  6 10    3.23   -2.57    0.14  -311.5    -3.6     2.9   8.93   61242.   10.0    1    1 -0.5572   1.68   0.03   0.04   0.00   0.02   0.02   0.06
2020   1  6 15    3.07   -2.75   -0.23  -312.7    -7.9    -2.1   8.78   62934.   10.0    1    1 -0.5559   1.66   0.03   0.04   0.00   0.02   0.02   0.08
2020   1  6 20    2.82   -2.79   -0.88  -313.2    -5.6    -4.7   8.42   50979.   10.0    1    1 -0.5546   1.60   0.04   0.06   0.00   0.02   0.05   0.11
2020   1  6 25    3.02   -2.89   -0.83  -309.9    -3.2    -2.3   8.39   54651.   10.0    1    1 -0.5531   1.56   0.04   0.07   0.00   0.02   0.07   0.13
2020   1  6 30    3.63   -2.22   -0.76  -306.2    -1.3    -3.1   8.92   69036.   10.0    1    1 -0.5516   1.62   0.05   0.08   0.00   0.03   0.08   0.16
2020   1  6 35    3.34   -2.49   -0.49  -308.6    -1.5     1.1   8.39   56315.   11.0    1    1 -0.5501   1.55   0.05   0.08   0.00   0.03   0.09   0.17
2020   1  6 40    3.27   -2.62   -0.76  -308.7    -3.2     1.6   8.55   64398.   11.0    1    1 -0.5484   1.58   0.06   0.09   0.00   0.03   0.11   0.19
2020   1  6 45    3.11   -2.33   -1.32  -312.2    -2.6     1.9   8.71   54168.   11.0    1    1 -0.5467   1.65   0.06   0.11   0.00   0.04   0.13   0.22
2020   1  6 50    2.69   -2.07   -2.10  -311.3    -1.8    -1.3   8.46   42451.   11.0    1    1 -0.5449   1.59   0.08   0.14   0.00   0.05   0.16   0.27
2020   1  6 55    2.93   -2.46   -1.51  -308.4    -2.0    -3.6   8.53   48819.   10.0    1    1 -0.5430   1.57   0.09   0.16   0.00   0.06   0.18   0.29
2020   1  7  0    2.80   -2.96   -1.64  -312.4    -6.0     5.9   8.63   45720.   10.0    1    1 -0.5410   1.63   0.10   0.18   0.01   0.06   0.21   0.33
2020   1  7  5    2.60   -2.98   -1.56  -314.9    -3.8     1.2   8.53   48392.    9.0    1    1 -0.5390   1.64   0.10   0.19   0.01   0.07   0.23   0.35
2020   1  7 10    1.79   -2.50   -2.06  -317.3    -5.3     7.2   8.04   43499.    9.0    1    1 -0.5370   1.57   0.12   0.22   0.01   0.08   0.25   0.38
2020   1  7 15    1.41   -2.27   -3.01  -323.2     0.7    -1.4   8.26   37559.    8.0    1    1 -0.5348   1.67   0.13   0.25   0.01   0.10   0.29   0.43
2020   1  7 20    0.51   -1.58   -3.30  -327.8    -1.2    -5.5   8.36   36527.    8.0    1    1 -0.5326   1.74   0.15   0.29   0.01   0.13   0.33   0.48
2020   1  7 25    0.61   -1.68   -3.48  -327.4     0.9    -3.5   8.36   35770.    8.0    1    1 -0.5303   1.74   0.17   0.33   0.01   0.15   0.37   0.53
2020   1  7 30    0.51   -1.76   -3.40  -327.6     1.0    -4.5   8.46   37667.    8.0    1    1 -0.5280   1.76   0.19   0.37   0.01   0.18   0.41   0.58
2020   1  7 35    0.88   -2.49   -3.33  -326.9    -0.2    -6.9   8.01   34860.    7.0    1    1 -0.5256   1.66   0.21   0.40   0.01   0.20   0.44   0.61
2020   1  7 40    0.93   -2.80   -3.18  -326.2    -0.4    -6.0   8.43   35659.    7.0    1    1 -0.5231   1.74   0.23   0.43   0.01   0.21   0.46   0.65
2020   1  7 45    0.41   -2.04   -3.09  -326.9    -4.6    -4.6   8.34   39028.    7.0    1    1 -0.5206   1.73   0.24   0.45   0.01   0.23   0.48   0.68
2020   1  7 50    0.41   -2.08   -3.09  -327.4    -2.3    -0.9   8.36   38233.    6.0    1    1 -0.5180   1.74   0.26   0.48   0.02   0.25   0.51   0.71
2020   1  7 55    0.73   -1.60   -2.91  -331.7     4.0    -4.1   8.48   38775.    6.0    1    1 -0.5154   1.81   0.27   0.50   0.02   0.26   0.52   0.74
2020   1  8  0    0.54   -2.14   -3.03  -326.1    -1.6    -3.9   8.07   39571.    6.0    1    1 -0.5127   1.66   0.28   0.52   0.02   0.27   0.54   0.77
2020   1  8  5    0.92   -2.21   -3.23  -327.3     0.1    -2.9   8.32   37379.    6.0    1    1 -0.5100   1.73   0.30   0.54   0.02   0.29   0.56   0.79
2020   1  8 10    0.53   -1.97   -3.12  -328.5     1.6    -4.2   8.33   37325.    5.0    1    1 -0.5072   1.74   0.31   0.56   0.02   0.30   0.57   0.82
2020   1  8 15    0.70   -2.14   -3.12  -327.4    -1.2    -4.0   8.01   40707.    5.0    1    1 -0.5043   1.66   0.32   0.58   0.02   0.31   0.58   0.83
2020   1  8 20    0.80   -2.38   -3.00  -328.2    -2.3    -2.8   7.98   39142.    5.0    1    1 -0.5014   1.66   0.34   0.60   0.02   0.32   0.59   0.85
2020   1  8 25    0.54   -1.93   -3.16  -327.9     0.7    -2.7   8.06   38641.    4.0    1    1 -0.4985   1.68   0.35   0.62   0.02   0.33   0.60   0.87
2020   1  8 30    0.61   -2.42   -2.79  -326.3    -3.2    -2.1   8.12   42766.    4.0    1    1 -0.4955   1.68   0.36   0.63   0.02   0.34   0.61   0.88
2020   1  8 35    0.48   -2.22   -2.97  -328.2    -1.9    -3.0   8.02   37959.    2.0    1    1 -0.4925   1.67   0.37   0.64   0.03   0.35   0.61   0.89
2020   1  8 40    0.81   -2.57   -2.82  -327.8    -3.8    -0.3   7.66   36847.    1.0    1    1 -0.4894   1.60   0.38   0.65   0.03   0.35   0.62   0.90
2020   1  8 45    0.22   -2.11   -2.95  -336.0    -1.2     0.2   8.90   42413.    0.0    1    1 -0.4863   1.95   0.39   0.66   0.03   0.36   0.63   0.92
2020   1  8 50    0.07   -1.98   -3.00  -329.6    -5.8    -4.5   7.71   33468.    0.0    1    1 -0.4832   1.62   0.40   0.67   0.03   0.37   0.63   0.93
2020   1  8 55   -0.12   -2.00   -2.84  -334.9     0.4    -4.2   8.12   36946.    0.0    1    1 -0.4800   1.76   0.40   0.68   0.03   0.38   0.64   0.94
2020   1  9  0   -0.17   -2.20   -2.84  -339.8    -0.6    -3.9   7.42   33127.    1.0    1    1 -0.4767   1.66   0.41   0.69   0.03   0.38   0.64   0.95
2020   1  9  5   -0.11   -2.17   -2.78  -334.8    -0.8    -2.4   7.94   35148.    1.0    1    1 -0.4735   1.72   0.42   0.70   0.03   0.39   0.64   0.95
2020   1  9 10   -0.04   -2.25   -2.69  -333.3     0.9    -2.2   7.96   34336.    1.0    1    2 -0.4702   1.71   0.43   0.70   0.03   0.39   0.64   0.96
2020   1  9 15   -0.12   -1.99   -2.85  -331.9     2.6    -1.9   7.98   33525.    1.0    1    1 -0.4669   1.70   0.43   0.71   0.03   0.40   0.65   0.97
2020   1  9 20    0.13   -2.10   -2.86  -335.1     1.2    -2.6   7.79   34787.    1.0    1    2 -0.4636   1.69   0.44   0.72   0.03   0.40   0.65   0.97
2020   1  9 25   -0.10   -2.03   -2.74  -338.3    -0.3    -3.4   7.59   36049.    1.0    1    1 -0.4602   1.68   0.45   0.72   0.04   0.41   0.65   0.98
