IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2011   2  3 55    0.76   -5.04    5.43  -333.9   -22.0   -32.9  10.35   22311.   -3.0    1    1 -0.5678   2.27   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4  0    0.74   -4.98    5.24  -334.7   -20.6   -30.3  10.91   24692.   -2.0    1    1 -0.5688   2.40   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4  5    0.70   -5.13    4.87  -334.3   -21.5   -32.3  10.96   23360.   -2.0    1    1 -0.5697   2.41   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 10    0.56   -5.02    4.70  -333.8   -22.1   -30.2  11.75   26371.   -1.0    1    1 -0.5705   2.57   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 15    0.51   -5.10    4.76  -333.6   -22.2   -29.6  11.85   27185.    0.0    1    1 -0.5712   2.59   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 20    0.45   -5.07    4.72  -334.3   -22.5   -29.5  12.03   26328.    0.0    1    1 -0.5718   2.64   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 25    0.45   -5.00    4.63  -335.0   -22.3   -30.8  11.77   27018.    0.0    1    1 -0.5724   2.59   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 30    0.35   -5.12    4.70  -333.7   -24.4   -32.3  11.44   27681.    0.0    1    1 -0.5728   2.50   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 35    0.09   -5.18    4.89  -333.3   -24.2   -31.4  10.74   26453.    0.0    1    1 -0.5732   2.34   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 40    0.43   -5.00    4.90  -333.6   -21.2   -29.1  11.64   25740.   -1.0    1    1 -0.5735   2.54   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 45    0.54   -4.97    4.99  -334.1   -21.8   -30.4  11.54   27453.   -1.0    1    1 -0.5737   2.53   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 50    0.50   -4.87    5.08  -333.6   -20.7   -28.7  11.77   27240.   -2.0    1    1 -0.5737   2.56   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  4 55    0.17   -4.79    5.15  -332.9   -20.9   -27.9  12.16   29016.   -1.0    1    1 -0.5737   2.64   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  5  0   -0.53   -4.82    5.30  -333.8   -25.2   -32.3   9.79   28082.    0.0    1    1 -0.5737   2.14   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  5  5   -0.14   -5.52    4.77  -334.3   -27.0   -31.4   9.17   30721.   -1.0    1    1 -0.5735   2.01   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  5 10    0.07   -5.43    4.40  -335.4   -27.0   -33.7  10.14   27722.    0.0    1    1 -0.5732   2.25   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  5 15    0.09   -4.85    4.42  -333.9   -25.8   -33.4  12.40   29594.    1.0    1    1 -0.5729   2.72   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  5 20    0.51   -4.55    4.60  -331.1   -25.4   -36.0  12.11   32190.    0.0    1    1 -0.5724   2.62   0.00   0.00   0.00   0.00   0.00   0.00
2011   2  5 25    0.46   -4.56    4.68  -330.9   -26.9   -37.5  11.68   31832.    0.0    1    1 -0.5719   2.53   0.00   0.00   0.00   0.00   0.00   0.00
