IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2013   1  3 25    2.90   -0.79    0.12  -348.2    -0.3    -2.8   2.32   28827.    0.0    1    1 -0.5589   0.55   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  3 30    2.79   -1.01    0.17  -350.1     4.4    -5.0   2.12   30563.    0.0    1    1 -0.5604   0.50   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  3 35    2.73   -1.16    0.17  -351.5     1.7   -14.8   2.02   35879.    0.0    1    1 -0.5618   0.48   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  3 40    2.72   -1.16    0.23  -352.6     8.4   -14.1   2.37   32402.    0.0    1    1 -0.5631   0.57   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  3 45    2.70   -1.14    0.29  -353.1     8.5   -16.5   2.31   29080.   -1.0    1    1 -0.5643   0.56   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  3 50    2.78   -1.04    0.40  -353.5     7.0   -11.5   1.77   31676.   -1.0    1    1 -0.5655   0.43   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  3 55    2.73   -1.09    0.40  -354.6     6.4    -8.5   2.06   33321.   -1.0    1    1 -0.5665   0.50   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  4  0    2.79   -1.10    0.44  -351.9    -0.1   -10.9   2.31   32574.   -1.0    1    1 -0.5675   0.56   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  4  5    2.54   -1.68    0.30  -350.9    -0.3   -11.7   2.47   35090.   -2.0    1    1 -0.5684   0.59   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  4 10    2.43   -1.76    0.30  -350.3     3.2   -12.8   2.23   31392.   -2.0    1    1 -0.5692   0.53   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  4 15    2.29   -1.88    0.28  -354.5     6.1   -12.2   2.43   32166.   -2.0    1    1 -0.5699   0.59   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  4 20    2.11   -2.01    0.24  -353.2     8.3   -11.8   2.39   26785.   -2.0    1    1 -0.5705   0.58   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  4 25    2.23   -1.90    0.32  -352.4     8.8   -14.2   2.74   31411.   -2.0    1    1 -0.5711   0.66   0.00   0.00   0.00   0.00   0.00   0.00
2013   1  4 30    2.29   -1.88    0.39  -354.0     3.8    -6.9   2.70   33556.   -2.0    1    1 -0.5715   0.66   0.00   0.00   0.00   0.00   0.00   0.00
