IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2018   2 21 20    1.38    4.46    0.73  -403.6    14.2    11.9   7.87   43836.   -2.0    1    1 -0.3268   2.49   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 21 25    1.61    4.42    0.52  -406.5    16.5    15.6   8.95   47846.   -2.0    1    1 -0.3300   2.87   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 21 30    1.13    3.81    2.48  -407.9    16.1     9.0   7.29   44441.   -2.0    1    1 -0.3333   2.35   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 21 35   -0.09    3.65    2.11  -397.4     8.5     8.2   5.25   44267.   -1.0    1    1 -0.3366   1.61   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 21 40   -1.91    3.19    3.43  -398.4     7.7     8.6   5.44   46244.   -2.0    1    1 -0.3399   1.67   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 21 45   -1.97    3.35    3.28  -397.0     7.7     8.2   5.38   45287.   -3.0    1    1 -0.3432   1.64   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 21 50   -1.52    3.87    2.00  -399.5     8.4    10.0   5.91   47024.   -3.0    1    1 -0.3466   1.83   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 21 55   -1.33    3.49    2.27  -399.2    11.5     9.8   6.09   50446.   -3.0    1    1 -0.3500   1.88   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 22  0   -1.00    3.82    1.76  -400.1    10.6     9.2   6.10   49693.   -4.0    1    1 -0.3534   1.89   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 22  5   -0.57    3.87    1.92  -403.3     8.4     8.8   6.22   47000.   -4.0    1    1 -0.3569   1.96   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 22 10   -1.02    3.56    2.43  -402.5     9.7     9.4   6.41   47387.   -4.0    1    1 -0.3603   2.01   0.00   0.00   0.00   0.00   0.00   0.00
2018   2 22 15   -1.86    3.07    2.59  -401.4     9.7    10.1   6.28   51694.   -4.0    1    1 -0.3638   1.96   0.00   0.00   0.00   0.00   0.00   0.00
